Metric,Value
timing__hold_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,735
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,18
design__max_cap_violation__count__corner:max_ff_n40C_1v95,33
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.611772649854855
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.27350919525592804
timing__hold__ws__corner:max_ff_n40C_1v95,2.041625593039523
timing__setup__ws__corner:max_ff_n40C_1v95,9.710913237289416
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,2.041625
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,1548
design__max_fanout_violation__count,18
design__max_cap_violation__count,36
clock__skew__worst_hold,-2.549907468459396
clock__skew__worst_setup,-1.4442718541024795
timing__hold__ws,1.5934995995980548
timing__setup__ws,7.72969088392518
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,2.028271
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__area,1.60152E+6
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,3
design__instance__area__macros,1.60152E+6
design__instance__utilization,0.157413
design__instance__utilization__stdcell,0
design__instance__count__class:macro,3
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vdda1,1822
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vccd1,11382
design__power_grid_violation__count__net:vssd1,13920
design__power_grid_violation__count,27124
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,494472
design__violations,0
antenna__violating__nets,15
antenna__violating__pins,15
route__antenna_violation__count,15
route__net,900
route__net__special,8
route__drc_errors__iter:1,1146
route__wirelength__iter:1,512507
route__drc_errors__iter:2,36
route__wirelength__iter:2,511151
route__drc_errors__iter:3,22
route__wirelength__iter:3,510934
route__drc_errors__iter:4,6
route__wirelength__iter:4,510953
route__drc_errors__iter:5,6
route__wirelength__iter:5,510968
route__drc_errors__iter:6,6
route__wirelength__iter:6,510975
route__drc_errors__iter:7,6
route__wirelength__iter:7,510981
route__drc_errors__iter:8,5
route__wirelength__iter:8,510982
route__drc_errors__iter:9,5
route__wirelength__iter:9,510977
route__drc_errors__iter:10,5
route__wirelength__iter:10,510984
route__drc_errors__iter:11,4
route__wirelength__iter:11,510988
route__drc_errors__iter:12,3
route__wirelength__iter:12,510987
route__drc_errors__iter:13,3
route__wirelength__iter:13,510992
route__drc_errors__iter:14,3
route__wirelength__iter:14,510988
route__drc_errors__iter:15,3
route__wirelength__iter:15,510987
route__drc_errors__iter:16,3
route__wirelength__iter:16,510988
route__drc_errors__iter:17,3
route__wirelength__iter:17,510987
route__drc_errors__iter:18,3
route__wirelength__iter:18,510981
route__drc_errors__iter:19,3
route__wirelength__iter:19,510984
route__drc_errors__iter:20,3
route__wirelength__iter:20,510983
route__drc_errors__iter:21,3
route__wirelength__iter:21,510987
route__drc_errors__iter:22,3
route__wirelength__iter:22,510984
route__drc_errors__iter:23,3
route__wirelength__iter:23,510983
route__drc_errors__iter:24,3
route__wirelength__iter:24,510983
route__drc_errors__iter:25,3
route__wirelength__iter:25,510985
route__drc_errors__iter:26,3
route__wirelength__iter:26,510983
route__drc_errors__iter:27,3
route__wirelength__iter:27,510985
route__drc_errors__iter:28,3
route__wirelength__iter:28,510983
route__drc_errors__iter:29,3
route__wirelength__iter:29,510987
route__drc_errors__iter:30,3
route__wirelength__iter:30,510984
route__drc_errors__iter:31,3
route__wirelength__iter:31,510983
route__drc_errors__iter:32,3
route__wirelength__iter:32,510985
